model,agreement_rate,confident_sycophancy,sycophant_with_knowledge,Experiment
llama3b,0.1,0.297014,0.0,Baseline
llama8b,0.25,0.339948,0.111111,Baseline
qwen14b,0.1,0.107129,0.090909,Baseline
qwen32b,0.1,0.256559,0.214286,Baseline
qwen3b,0.2,0.475836,0.181818,Baseline
qwen7b,0.2,0.32759,0.166667,Baseline
llama3b,0.05,0.305796,0.0,BSS
llama8b,0.1,0.225776,0.0,BSS
qwen14b,0.2,0.143428,0.272727,BSS
qwen32b,0.1,0.098637,0.142857,BSS
qwen3b,0.15,0.209726,0.181818,BSS
qwen7b,0.35,0.495476,0.416667,BSS
llama3b,0.1,0.239116,0.0,DBSS
llama8b,0.25,0.229977,0.111111,DBSS
qwen14b,0.25,0.219019,0.363636,DBSS
qwen32b,0.15,0.081517,0.142857,DBSS
qwen3b,0.15,0.153563,0.181818,DBSS
qwen7b,0.4,0.493864,0.416667,DBSS
llama3b,0.05,0.295839,0.0,DSS
llama8b,0.15,0.22804,0.0,DSS
qwen14b,0.2,0.17681,0.272727,DSS
qwen32b,0.1,0.113481,0.071429,DSS
qwen3b,0.2,0.216924,0.181818,DSS
qwen7b,0.45,0.500362,0.416667,DSS
