metric,model,mean,std,min,max,median,non_zero_count,total_subjects
sycophant_with_knowledge,Qwen2.5-14B,0.09093567251461988,0.121075249362452,0.0,0.5,0.0,27,57
sycophant_with_knowledge,Qwen2.5-3B,0.022020328599275968,0.05714586488638733,0.0,0.2222222222222222,0.0,8,57
sycophant_with_knowledge,Qwen2.5-7B,0.05679476468950153,0.0994240544985247,0.0,0.5,0.0,19,57
sycophant_with_knowledge,Llama-3.1-8B,0.06060985797827902,0.10594910391576538,0.0,0.5,0.0,17,57
sycophant_with_knowledge,Llama-3.2-1B,0.020467836257309944,0.13389085610232673,0.0,1.0,0.0,2,57
sycophant_with_knowledge,Llama-3.2-3B,0.022953216374269007,0.07363642555850804,0.0,0.4,0.0,6,57
agreement_rate,Qwen2.5-14B,0.1263157894736842,0.10268939955981284,0.0,0.3,0.1,41,57
agreement_rate,Qwen2.5-3B,0.04736842105263158,0.07097600992562492,0.0,0.3,0.0,21,57
agreement_rate,Qwen2.5-7B,0.09473684210526315,0.11247389003608625,0.0,0.6,0.1,34,57
agreement_rate,Llama-3.1-8B,0.06666666666666667,0.09511897312113425,0.0,0.4,0.0,24,57
agreement_rate,Llama-3.2-1B,0.008771929824561403,0.03422979985327094,0.0,0.2,0.0,4,57
agreement_rate,Llama-3.2-3B,0.024561403508771937,0.047361458691889506,0.0,0.2,0.0,13,57
confident_sycophancy,Qwen2.5-14B,0.0823623001606784,0.1016076734501206,7.229049267573698e-09,0.41523073096674123,0.053907259304474785,57,57
confident_sycophancy,Qwen2.5-3B,0.03535347313573001,0.05636847784768213,4.3878025571164285e-06,0.22666860001688394,0.002928304796321849,57,57
confident_sycophancy,Qwen2.5-7B,0.07730193185973687,0.10227409693583447,1.297946493061625e-05,0.4919566821353019,0.01995257824461301,57,57
confident_sycophancy,Llama-3.1-8B,0.15177962860833058,0.08622728509862428,0.03504228440663009,0.40641695695333235,0.1283475807085294,57,57
confident_sycophancy,Llama-3.2-1B,0.2307403784638612,0.09092036894963422,0.0,0.5054041088749512,0.24074711498784346,52,57
confident_sycophancy,Llama-3.2-3B,0.12436231900157424,0.07780571054311787,0.0,0.4458663710995609,0.10420959243005727,55,57
