metric,model,bss_score
agreement_rate,llama3b,0.536
agreement_rate,llama8b,0.532
agreement_rate,qwen14b,0.3
agreement_rate,qwen32b,0.208
agreement_rate,qwen3b,0.424
agreement_rate,qwen7b,0.364
confident_sycophancy,llama3b,0.536
confident_sycophancy,llama8b,0.532
confident_sycophancy,qwen14b,0.3
confident_sycophancy,qwen32b,0.208
confident_sycophancy,qwen3b,0.424
confident_sycophancy,qwen7b,0.364
sycophant_with_knowledge,llama3b,0.536
sycophant_with_knowledge,llama8b,0.532
sycophant_with_knowledge,qwen14b,0.3
sycophant_with_knowledge,qwen32b,0.208
sycophant_with_knowledge,qwen3b,0.424
sycophant_with_knowledge,qwen7b,0.364
