source,target,count
llama3b,llama8b,117
llama3b,qwen14b,123
llama3b,qwen32b,136
llama3b,qwen3b,94
llama3b,qwen7b,131
llama8b,llama3b,74
llama8b,qwen14b,144
llama8b,qwen32b,124
llama8b,qwen3b,52
llama8b,qwen7b,115
qwen14b,llama3b,108
qwen14b,llama8b,71
qwen14b,qwen32b,79
qwen14b,qwen3b,66
qwen14b,qwen7b,169
qwen32b,llama3b,118
qwen32b,llama8b,73
qwen32b,qwen14b,106
qwen32b,qwen3b,65
qwen32b,qwen7b,160
qwen3b,llama3b,85
qwen3b,llama8b,79
qwen3b,qwen14b,126
qwen3b,qwen32b,130
qwen3b,qwen7b,135
qwen7b,llama3b,115
qwen7b,llama8b,63
qwen7b,qwen14b,93
qwen7b,qwen32b,96
qwen7b,qwen3b,64
