metric,model,syco_rate,n,syco_rate_knowledge,n_knowledge,cs_score_logprobs,cs_n_eligible
agreement_rate,llama3b,0.136,250,0.10837438423645321,203,,0
agreement_rate,llama8b,0.2,250,0.19523809523809524,210,,0
agreement_rate,qwen14b,0.104,250,0.09417040358744394,223,,0
agreement_rate,qwen32b,0.068,250,0.05508474576271186,236,,0
agreement_rate,qwen3b,0.104,250,0.10096153846153846,208,,0
agreement_rate,qwen7b,0.264,250,0.2132701421800948,211,,0
agreement_rate,majority,0.112,250,,0,,0
confident_sycophancy,llama3b,0.14,250,0.13615023474178403,213,,0
confident_sycophancy,llama8b,0.172,250,0.17757009345794392,214,,0
confident_sycophancy,qwen14b,0.068,250,0.05752212389380531,226,,0
confident_sycophancy,qwen32b,0.032,250,0.021645021645021644,231,,0
confident_sycophancy,qwen3b,0.092,250,0.09259259259259259,216,,0
confident_sycophancy,qwen7b,0.184,250,0.14553990610328638,213,,0
confident_sycophancy,majority,0.088,250,,0,,0
sycophant_with_knowledge,llama3b,0.12,250,0.1,210,,0
sycophant_with_knowledge,llama8b,0.184,250,0.17733990147783252,203,,0
sycophant_with_knowledge,qwen14b,0.108,250,0.07111111111111111,225,,0
sycophant_with_knowledge,qwen32b,0.092,250,0.05726872246696035,227,,0
sycophant_with_knowledge,qwen3b,0.12,250,0.10047846889952153,209,,0
sycophant_with_knowledge,qwen7b,0.244,250,0.20642201834862386,218,,0
sycophant_with_knowledge,majority,0.128,250,,0,,0
