source,target,count
llama3b,llama8b,179
llama3b,qwen14b,145
llama3b,qwen32b,156
llama3b,qwen3b,158
llama3b,qwen7b,143
llama8b,llama3b,159
llama8b,qwen14b,130
llama8b,qwen32b,160
llama8b,qwen3b,79
llama8b,qwen7b,113
qwen14b,llama3b,240
qwen14b,llama8b,90
qwen14b,qwen32b,145
qwen14b,qwen3b,101
qwen14b,qwen7b,105
qwen32b,llama3b,251
qwen32b,llama8b,112
qwen32b,qwen14b,111
qwen32b,qwen3b,125
qwen32b,qwen7b,124
qwen3b,llama3b,176
qwen3b,llama8b,108
qwen3b,qwen14b,126
qwen3b,qwen32b,159
qwen3b,qwen7b,128
qwen7b,llama3b,240
qwen7b,llama8b,99
qwen7b,qwen14b,90
qwen7b,qwen32b,143
qwen7b,qwen3b,106
