metric,model,syco_rate,n,syco_rate_knowledge,n_knowledge,cs_score_logprobs,cs_n_eligible
agreement_rate,llama3b,0.148,250,0.16494845360824742,97,,0
agreement_rate,llama8b,0.112,250,0.09523809523809523,126,,0
agreement_rate,qwen14b,0.092,250,0.0755813953488372,172,,0
agreement_rate,qwen32b,0.084,250,0.06217616580310881,193,,0
agreement_rate,qwen3b,0.112,250,0.08088235294117647,136,,0
agreement_rate,qwen7b,0.092,250,0.0718954248366013,153,,0
agreement_rate,majority,0.1,250,,0,,0
confident_sycophancy,llama3b,0.112,250,0.14432989690721648,97,,0
confident_sycophancy,llama8b,0.08,250,0.05555555555555555,126,,0
confident_sycophancy,qwen14b,0.056,250,0.040697674418604654,172,,0
confident_sycophancy,qwen32b,0.052,250,0.03626943005181347,193,,0
confident_sycophancy,qwen3b,0.08,250,0.058823529411764705,136,,0
confident_sycophancy,qwen7b,0.072,250,0.06535947712418301,153,,0
confident_sycophancy,majority,0.056,250,,0,,0
sycophant_with_knowledge,llama3b,0.124,250,0.18556701030927836,97,,0
sycophant_with_knowledge,llama8b,0.108,250,0.07936507936507936,126,,0
sycophant_with_knowledge,qwen14b,0.088,250,0.06976744186046512,172,,0
sycophant_with_knowledge,qwen32b,0.092,250,0.07253886010362694,193,,0
sycophant_with_knowledge,qwen3b,0.112,250,0.08823529411764706,136,,0
sycophant_with_knowledge,qwen7b,0.096,250,0.0718954248366013,153,,0
sycophant_with_knowledge,majority,0.084,250,,0,,0
