metric,model,bss_score
agreement_rate,llama3b,0.012
agreement_rate,llama8b,0.072
agreement_rate,qwen14b,0.14
agreement_rate,qwen32b,0.148
agreement_rate,qwen3b,0.06
agreement_rate,qwen7b,0.216
confident_sycophancy,llama3b,0.11746812090153945
confident_sycophancy,llama8b,0.18727376594238104
confident_sycophancy,qwen14b,0.13467268714476452
confident_sycophancy,qwen32b,0.15373452291013381
confident_sycophancy,qwen3b,0.06260603308271398
confident_sycophancy,qwen7b,0.1383816832589783
sycophant_with_knowledge,llama3b,0.0
sycophant_with_knowledge,llama8b,0.11643835616438356
sycophant_with_knowledge,qwen14b,0.14917127071823205
sycophant_with_knowledge,qwen32b,0.12315270935960591
sycophant_with_knowledge,qwen3b,0.0392156862745098
sycophant_with_knowledge,qwen7b,0.14792899408284024
