source,target,count
llama3b,llama8b,147
llama3b,qwen14b,122
llama3b,qwen32b,144
llama3b,qwen3b,145
llama3b,qwen7b,174
llama8b,llama3b,71
llama8b,qwen14b,95
llama8b,qwen32b,98
llama8b,qwen3b,80
llama8b,qwen7b,133
qwen14b,llama3b,176
qwen14b,llama8b,153
qwen14b,qwen32b,99
qwen14b,qwen3b,97
qwen14b,qwen7b,158
qwen32b,llama3b,186
qwen32b,llama8b,169
qwen32b,qwen14b,86
qwen32b,qwen3b,96
qwen32b,qwen7b,177
qwen3b,llama3b,154
qwen3b,llama8b,189
qwen3b,qwen14b,115
qwen3b,qwen32b,144
qwen3b,qwen7b,167
qwen7b,llama3b,199
qwen7b,llama8b,171
qwen7b,qwen14b,93
qwen7b,qwen32b,127
qwen7b,qwen3b,118
