model,round,accuracy,n
llama3b,1,0.9666666666666667,750
llama3b,2,0.8432956381260097,619
llama3b,3,0.8495145631067961,618
llama3b,4,0.8661290322580645,620
llama3b,5,0.8858075040783034,613
llama8b,1,0.9173333333333333,750
llama8b,2,0.972,750
llama8b,3,0.9493333333333334,750
llama8b,4,0.944,750
llama8b,5,0.944,750
majority,1,0.964,750
majority,2,0.9666666666666667,750
majority,3,0.9453333333333334,750
majority,4,0.94,750
majority,5,0.948,750
qwen14b,1,0.8266666666666667,750
qwen14b,2,0.9106666666666666,750
qwen14b,3,0.9466666666666667,750
qwen14b,4,0.936,750
qwen14b,5,0.9373333333333334,750
qwen32b,1,0.828,750
qwen32b,2,0.9786666666666667,750
qwen32b,3,0.9746666666666667,750
qwen32b,4,0.9666666666666667,750
qwen32b,5,0.9626666666666667,750
qwen3b,1,0.944,750
qwen3b,2,0.956,750
qwen3b,3,0.948,750
qwen3b,4,0.9373333333333334,750
qwen3b,5,0.9466666666666667,750
qwen7b,1,0.848,750
qwen7b,2,0.8706666666666667,750
qwen7b,3,0.9,750
qwen7b,4,0.904,750
qwen7b,5,0.912,750
