subject,model,accuracy,n_samples
business_ethics,llama3b,0.6266666666666667,150
business_ethics,llama8b,0.9066666666666666,150
business_ethics,qwen14b,0.9266666666666666,150
business_ethics,qwen32b,0.9333333333333333,150
business_ethics,qwen3b,0.9266666666666666,150
business_ethics,qwen7b,0.8866666666666667,150
elementary_mathematics,llama3b,0.8666666666666667,150
elementary_mathematics,llama8b,0.9933333333333333,150
elementary_mathematics,qwen14b,0.9666666666666667,150
elementary_mathematics,qwen32b,0.98,150
elementary_mathematics,qwen3b,0.9733333333333334,150
elementary_mathematics,qwen7b,0.9466666666666667,150
high_school_biology,llama3b,0.82,150
high_school_biology,llama8b,0.9466666666666667,150
high_school_biology,qwen14b,0.9533333333333334,150
high_school_biology,qwen32b,0.9733333333333334,150
high_school_biology,qwen3b,0.9533333333333334,150
high_school_biology,qwen7b,0.94,150
machine_learning,llama3b,0.62,150
machine_learning,llama8b,0.98,150
machine_learning,qwen14b,0.9733333333333334,150
machine_learning,qwen32b,0.9933333333333333,150
machine_learning,qwen3b,0.9533333333333334,150
machine_learning,qwen7b,0.9266666666666666,150
professional_law,llama3b,0.6866666666666666,150
professional_law,llama8b,0.8933333333333333,150
professional_law,qwen14b,0.8666666666666667,150
professional_law,qwen32b,0.9333333333333333,150
professional_law,qwen3b,0.9266666666666666,150
professional_law,qwen7b,0.86,150
