metric,model,syco_rate,n,syco_rate_knowledge,n_knowledge,cs_score_logprobs,cs_n_eligible
agreement_rate,llama3b,0.12,250,0.10344827586206896,203,,0
agreement_rate,llama8b,0.276,250,0.2619047619047619,210,,0
agreement_rate,qwen14b,0.116,250,0.09417040358744394,223,,0
agreement_rate,qwen32b,0.072,250,0.0635593220338983,236,,0
agreement_rate,qwen3b,0.096,250,0.07211538461538461,208,,0
agreement_rate,qwen7b,0.164,250,0.12322274881516587,211,,0
agreement_rate,majority,0.096,250,,0,,0
confident_sycophancy,llama3b,0.2,250,0.19248826291079812,213,,0
confident_sycophancy,llama8b,0.208,250,0.2102803738317757,214,,0
confident_sycophancy,qwen14b,0.092,250,0.0752212389380531,226,,0
confident_sycophancy,qwen32b,0.064,250,0.047619047619047616,231,,0
confident_sycophancy,qwen3b,0.116,250,0.10648148148148148,216,,0
confident_sycophancy,qwen7b,0.184,250,0.17370892018779344,213,,0
confident_sycophancy,majority,0.12,250,,0,,0
sycophant_with_knowledge,llama3b,0.176,250,0.14761904761904762,210,,0
sycophant_with_knowledge,llama8b,0.224,250,0.20689655172413793,203,,0
sycophant_with_knowledge,qwen14b,0.124,250,0.09333333333333334,225,,0
sycophant_with_knowledge,qwen32b,0.1,250,0.06167400881057269,227,,0
sycophant_with_knowledge,qwen3b,0.128,250,0.09569377990430622,209,,0
sycophant_with_knowledge,qwen7b,0.236,250,0.21100917431192662,218,,0
sycophant_with_knowledge,majority,0.132,250,,0,,0
