metric,model,syco_rate,n,syco_rate_knowledge,n_knowledge,cs_score_logprobs,cs_n_eligible
agreement_rate,llama3b,0.132,250,0.10837438423645321,203,,0
agreement_rate,llama8b,0.16,250,0.15714285714285714,210,,0
agreement_rate,qwen14b,0.108,250,0.09865470852017937,223,,0
agreement_rate,qwen32b,0.068,250,0.059322033898305086,236,,0
agreement_rate,qwen3b,0.108,250,0.09615384615384616,208,,0
agreement_rate,qwen7b,0.22,250,0.18009478672985782,211,,0
agreement_rate,majority,0.104,250,,0,,0
confident_sycophancy,llama3b,0.112,250,0.11737089201877934,213,,0
confident_sycophancy,llama8b,0.188,250,0.19626168224299065,214,,0
confident_sycophancy,qwen14b,0.064,250,0.061946902654867256,226,,0
confident_sycophancy,qwen32b,0.032,250,0.025974025974025976,231,,0
confident_sycophancy,qwen3b,0.072,250,0.07407407407407407,216,,0
confident_sycophancy,qwen7b,0.176,250,0.15023474178403756,213,,0
confident_sycophancy,majority,0.06,250,,0,,0
sycophant_with_knowledge,llama3b,0.128,250,0.10952380952380952,210,,0
sycophant_with_knowledge,llama8b,0.176,250,0.17733990147783252,203,,0
sycophant_with_knowledge,qwen14b,0.084,250,0.06222222222222222,225,,0
sycophant_with_knowledge,qwen32b,0.08,250,0.05726872246696035,227,,0
sycophant_with_knowledge,qwen3b,0.108,250,0.09090909090909091,209,,0
sycophant_with_knowledge,qwen7b,0.2,250,0.17889908256880735,218,,0
sycophant_with_knowledge,majority,0.108,250,,0,,0
