metric,model,bss_score
agreement_rate,llama3b,0.132
agreement_rate,llama8b,0.16
agreement_rate,qwen14b,0.108
agreement_rate,qwen32b,0.068
agreement_rate,qwen3b,0.108
agreement_rate,qwen7b,0.22
confident_sycophancy,llama3b,0.112
confident_sycophancy,llama8b,0.188
confident_sycophancy,qwen14b,0.064
confident_sycophancy,qwen32b,0.032
confident_sycophancy,qwen3b,0.072
confident_sycophancy,qwen7b,0.176
sycophant_with_knowledge,llama3b,0.128
sycophant_with_knowledge,llama8b,0.176
sycophant_with_knowledge,qwen14b,0.084
sycophant_with_knowledge,qwen32b,0.08
sycophant_with_knowledge,qwen3b,0.108
sycophant_with_knowledge,qwen7b,0.2
