source,target,count
llama3b,llama8b,118
llama3b,qwen14b,112
llama3b,qwen32b,149
llama3b,qwen3b,98
llama3b,qwen7b,130
llama8b,llama3b,87
llama8b,qwen14b,151
llama8b,qwen32b,138
llama8b,qwen3b,59
llama8b,qwen7b,110
qwen14b,llama3b,111
qwen14b,llama8b,79
qwen14b,qwen32b,92
qwen14b,qwen3b,75
qwen14b,qwen7b,166
qwen32b,llama3b,122
qwen32b,llama8b,73
qwen32b,qwen14b,117
qwen32b,qwen3b,74
qwen32b,qwen7b,156
qwen3b,llama3b,94
qwen3b,llama8b,84
qwen3b,qwen14b,134
qwen3b,qwen32b,138
qwen3b,qwen7b,133
qwen7b,llama3b,126
qwen7b,llama8b,65
qwen7b,qwen14b,109
qwen7b,qwen32b,105
qwen7b,qwen3b,70
