model,round,accuracy,n
llama3b,1,0.856,750
llama3b,2,0.904,750
llama3b,3,0.856,750
llama3b,4,0.8666666666666667,750
llama3b,5,0.8758344459279038,749
llama8b,1,0.708,750
llama8b,2,0.788,750
llama8b,3,0.824,750
llama8b,4,0.8213333333333334,750
llama8b,5,0.832,750
majority,1,0.9106666666666666,750
majority,2,0.9226666666666666,750
majority,3,0.9053333333333333,750
majority,4,0.892,750
majority,5,0.904,750
qwen14b,1,0.848,750
qwen14b,2,0.8986666666666666,750
qwen14b,3,0.9226666666666666,750
qwen14b,4,0.9133333333333333,750
qwen14b,5,0.9093333333333333,750
qwen32b,1,0.844,750
qwen32b,2,0.948,750
qwen32b,3,0.952,750
qwen32b,4,0.9533333333333334,750
qwen32b,5,0.9426666666666667,750
qwen3b,1,0.9,750
qwen3b,2,0.928,750
qwen3b,3,0.92,750
qwen3b,4,0.8973333333333333,750
qwen3b,5,0.8933333333333333,750
qwen7b,1,0.8186666666666667,750
qwen7b,2,0.7293333333333333,750
qwen7b,3,0.7773333333333333,750
qwen7b,4,0.7866666666666666,750
qwen7b,5,0.7986666666666666,750
