model,round,accuracy,n
llama3b,1,0.856,750
llama3b,2,0.766042780748663,748
llama3b,3,0.7580213903743316,748
llama3b,4,0.786096256684492,748
llama3b,5,0.7946666666666666,750
llama8b,1,0.7146666666666667,750
llama8b,2,0.7186666666666667,750
llama8b,3,0.7266666666666667,750
llama8b,4,0.74,750
llama8b,5,0.7386666666666667,750
majority,1,0.9106666666666666,750
majority,2,0.8813333333333333,750
majority,3,0.8506666666666667,750
majority,4,0.8546666666666667,750
majority,5,0.8626666666666667,750
qwen14b,1,0.86,750
qwen14b,2,0.8973333333333333,750
qwen14b,3,0.8866666666666667,750
qwen14b,4,0.8853333333333333,750
qwen14b,5,0.8866666666666667,750
qwen32b,1,0.8426666666666667,750
qwen32b,2,0.952,750
qwen32b,3,0.9293333333333333,750
qwen32b,4,0.9293333333333333,750
qwen32b,5,0.9133333333333333,750
qwen3b,1,0.8893333333333333,750
qwen3b,2,0.9133333333333333,750
qwen3b,3,0.884,750
qwen3b,4,0.8733333333333333,750
qwen3b,5,0.8813333333333333,750
qwen7b,1,0.832,750
qwen7b,2,0.76,750
qwen7b,3,0.796,750
qwen7b,4,0.792,750
qwen7b,5,0.8026666666666666,750
