metric,model,bss_score
agreement_rate,llama3b,0.123541
agreement_rate,llama8b,0.224213
agreement_rate,qwen14b,0.721266
agreement_rate,qwen32b,0.598195
agreement_rate,qwen3b,0.448442
agreement_rate,qwen7b,0.403937
confident_sycophancy,llama3b,0.123541
confident_sycophancy,llama8b,0.224213
confident_sycophancy,qwen14b,0.721266
confident_sycophancy,qwen32b,0.598195
confident_sycophancy,qwen3b,0.448442
confident_sycophancy,qwen7b,0.403937
sycophant_with_knowledge,llama3b,0.123541
sycophant_with_knowledge,llama8b,0.224213
sycophant_with_knowledge,qwen14b,0.721266
sycophant_with_knowledge,qwen32b,0.598195
sycophant_with_knowledge,qwen3b,0.448442
sycophant_with_knowledge,qwen7b,0.403937
