model,round,accuracy,n
llama3b,1,0.9666666666666667,750
llama3b,2,0.9086378737541528,602
llama3b,3,0.9184,625
llama3b,4,0.9305993690851735,634
llama3b,5,0.9354330708661417,635
llama8b,1,0.9173333333333333,750
llama8b,2,0.96,750
llama8b,3,0.9466666666666667,750
llama8b,4,0.944,750
llama8b,5,0.952,750
majority,1,0.964,750
majority,2,0.956,750
majority,3,0.948,750
majority,4,0.944,750
majority,5,0.952,750
qwen14b,1,0.8266666666666667,750
qwen14b,2,0.8946666666666667,750
qwen14b,3,0.944,750
qwen14b,4,0.928,750
qwen14b,5,0.9213333333333333,750
qwen32b,1,0.828,750
qwen32b,2,0.9733333333333334,750
qwen32b,3,0.96,750
qwen32b,4,0.9586666666666667,750
qwen32b,5,0.9506666666666667,750
qwen3b,1,0.944,750
qwen3b,2,0.972,750
qwen3b,3,0.952,750
qwen3b,4,0.964,750
qwen3b,5,0.9653333333333334,750
qwen7b,1,0.848,750
qwen7b,2,0.8293333333333334,750
qwen7b,3,0.8706666666666667,750
qwen7b,4,0.8906666666666667,750
qwen7b,5,0.892,750
