source,target,count
llama3b,llama8b,251
llama3b,qwen14b,167
llama3b,qwen32b,179
llama3b,qwen3b,218
llama3b,qwen7b,203
llama8b,llama3b,267
llama8b,qwen14b,130
llama8b,qwen32b,144
llama8b,qwen3b,170
llama8b,qwen7b,151
qwen14b,llama3b,250
qwen14b,llama8b,185
qwen14b,qwen32b,142
qwen14b,qwen3b,130
qwen14b,qwen7b,121
qwen32b,llama3b,283
qwen32b,llama8b,199
qwen32b,qwen14b,110
qwen32b,qwen3b,172
qwen32b,qwen7b,131
qwen3b,llama3b,173
qwen3b,llama8b,183
qwen3b,qwen14b,120
qwen3b,qwen32b,148
qwen3b,qwen7b,135
qwen7b,llama3b,271
qwen7b,llama8b,207
qwen7b,qwen14b,103
qwen7b,qwen32b,158
qwen7b,qwen3b,113
