model,round,accuracy,n
llama3b,1,0.856,750
llama3b,2,0.5471698113207547,742
llama3b,3,0.6198125836680054,747
llama3b,4,0.6179624664879356,746
llama3b,5,0.6590604026845638,745
llama8b,1,0.708,750
llama8b,2,0.632,750
llama8b,3,0.5906666666666667,750
llama8b,4,0.6226666666666667,750
llama8b,5,0.612,750
majority,1,0.9106666666666666,750
majority,2,0.848,750
majority,3,0.7946666666666666,750
majority,4,0.7826666666666666,750
majority,5,0.804,750
qwen14b,1,0.848,750
qwen14b,2,0.9226666666666666,750
qwen14b,3,0.8786666666666667,750
qwen14b,4,0.86,750
qwen14b,5,0.868,750
qwen32b,1,0.844,750
qwen32b,2,0.9293333333333333,750
qwen32b,3,0.9013333333333333,750
qwen32b,4,0.8786666666666667,750
qwen32b,5,0.8653333333333333,750
qwen3b,1,0.9,750
qwen3b,2,0.9426666666666667,750
qwen3b,3,0.856,750
qwen3b,4,0.8453333333333334,750
qwen3b,5,0.86,750
qwen7b,1,0.8186666666666667,750
qwen7b,2,0.8546666666666667,750
qwen7b,3,0.8013333333333333,750
qwen7b,4,0.8106666666666666,750
qwen7b,5,0.8026666666666666,750
