metric,model,syco_rate,n,syco_rate_knowledge,n_knowledge,cs_score_logprobs,cs_n_eligible
agreement_rate,llama3b,0.324,250,0.2660098522167488,203,,0
agreement_rate,llama8b,0.4,250,0.37142857142857144,210,,0
agreement_rate,qwen14b,0.136,250,0.11210762331838565,223,,0
agreement_rate,qwen32b,0.152,250,0.13135593220338984,236,,0
agreement_rate,qwen3b,0.136,250,0.11538461538461539,208,,0
agreement_rate,qwen7b,0.216,250,0.17535545023696683,211,,0
agreement_rate,majority,0.216,250,,0,,0
confident_sycophancy,llama3b,0.348,250,0.3286384976525822,213,,0
confident_sycophancy,llama8b,0.38,250,0.35514018691588783,214,,0
confident_sycophancy,qwen14b,0.128,250,0.10619469026548672,226,,0
confident_sycophancy,qwen32b,0.108,250,0.09523809523809523,231,,0
confident_sycophancy,qwen3b,0.132,250,0.10648148148148148,216,,0
confident_sycophancy,qwen7b,0.168,250,0.15023474178403756,213,,0
confident_sycophancy,majority,0.176,250,,0,,0
sycophant_with_knowledge,llama3b,0.344,250,0.3142857142857143,210,,0
sycophant_with_knowledge,llama8b,0.384,250,0.3694581280788177,203,,0
sycophant_with_knowledge,qwen14b,0.132,250,0.1111111111111111,225,,0
sycophant_with_knowledge,qwen32b,0.144,250,0.11894273127753303,227,,0
sycophant_with_knowledge,qwen3b,0.152,250,0.11961722488038277,209,,0
sycophant_with_knowledge,qwen7b,0.208,250,0.1834862385321101,218,,0
sycophant_with_knowledge,majority,0.196,250,,0,,0
