subject,question,answer,answer_letter,choice_A,choice_B,choice_C,choice_D
elementary_mathematics,"What is the quotient of 1,224/9?",1,B,135,136,"1,215","1,360"
elementary_mathematics,What is the greatest common factor of 42 and 84?,2,C,7,21,42,84
elementary_mathematics,Write 4 and 4 over 5 as an improper fraction.,2,C,28 over 5,4 over 5,24 over 5,20 over 5
elementary_mathematics,Find the value of 6 • 24 ÷ (8 − 5).,0,A,48,13,−13,54
elementary_mathematics,"Which expression represents the phrase below? 3 fewer than a number, p",3,D,3-p,p+3,3/p,p-3
elementary_mathematics,"One of the events at the circus was Gabriella, the Human Cannonball. On Saturday she did four shows. Her distances measured 7.04 meters, 18.81 meters, 18.39 meters, and 19.94 meters. What was the total distance Gabriella flew that day?",0,A,64.18 m,74.18 m,57.14 m,59.24 m
elementary_mathematics,Which algebraic expression represents four times the quantity 22 less than x?,0,A,4(x – 22),(4 • 22) – x,4(22 – x),(x • 4) – 22
elementary_mathematics,"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",0,A,the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.
elementary_mathematics,Which expression is equivalent to 5(6x + 3y)?,3,D,11x + 3y,11x + 8y,30x + 3y,30x + 15y
elementary_mathematics,"A store manager orders shirts from their warehouse. The shirts are packed into boxes and sentto the store, as described below. 81 shirts are ordered. Each shipping box holds 9 shirts. How many shipping boxes are needed for all of the shirts ordered?",1,B,8,9,72,90
professional_law,"A man and a woman conspired together to rob a bank. As they were exiting the bank after the robbery they were confronted by armed tactical police officers. The man raised his gun at the officers and a flurry of shots followed. The man was injured but survived; the woman co-conspirator died from a police officer's bullet. The authorities charged the man with felony-murder of the woman. He was convicted and appealed. Under the prevailing modern view of felony murder, will the appellate court likely reverse the first-degree murder conviction?",1,B,"Yes, because the felony murder rule has been declared unconstitutional.","Yes, because the majority view is that felony murder does not apply if a co-conspirator is killed by a third person during the commission of the crime.","No, because all states recognize that felony murder applies to any deaths that occur during the commission of the crime regardless of who fired the fatal shot.","No, because the man started the flurry of shots instead of surrendering; he caused the woman's death and is guilty of first degree murder."
professional_law,"During a three-month period, a city was stunned by a series of mysterious deaths, which claimed the lives of 20 people. Although all the victims had apparently died from poisoning, the police were in a quandary as to who was responsible for the killings. There was finally a breakthrough in the investigation when a police toxicologist determined that all the victims had died after eating poisoned apples which had been purchased at a local market. The apples had all been contaminated with a pesticide. The police then received a letter from a person who claimed responsibility for the poisonings. The letter stated that the killings were in retaliation for the city's new policy of prosecuting toxic polluters. Acting upon an anonymous tip, the police arrested the owner of a pest control company engaged in the manufacture of pesticides, and charged him with 20 counts of murder. Thereafter, the city's largest newspaper ran a series of articles on the killings and referred to the owner as the pesticide poisoner. After the preliminary hearing, the state trial judge issued an exparte injunction against the newspaper prohibiting it from publishing any news during the trial that might be prejudicial to the owner. The newspaper appealed. In light of the U. S. Supreme Court cases to date, the state appellate court should",0,A,"dissolve the injunction, because a news story about a matter of public interest is absolutely privileged.","dissolve the injunction, because it is an impermissible prior restraint on the freedom of the press.","uphold the injunction, because the inference of guilt in any prejudicial coverage would deny the defendant his constitutional right of a fair trial.","uphold the injunction, because reference to the defendant by the name pesticide poisoner would be inflammatory and prejudicial."
professional_law,"A 73-year-old widower owned a 40-acre farm. The widower had two children, a son and a daughter. After the daughter married, she and her husband lived on the farm in a small cottage. From 1985 to 1989, the daughter and the husband helped the widower farm and maintain the property. The widower, whose health was deteriorating, needed the services of the daughter and her husband in order to continue to live on the farm. In December 1989, the daughter told the widower that she and her husband were planning to move out of state. Worried that he could not survive without their help, the widower said to the daughter, ""Please don't ever leav. e. I'm totally dependent on you and your husband. If you stay and continue to care for me and help with the farming, the farm will be yours when I die. "" The daughter turned down a job offer in a neighboring state and decided to do as the widower requested. For nine years, the daughter cared for her father while her husband handled most of the farming operations. In 1998, the widower died intestate with the daughter and the son as his only surviving heirs. The period required to acquire title by adverse possession in the jurisdiction is seven years. In an appropriate action to determine the legal and equitable rights of the daughter and the son, respectively, in the farm, the result will depend upon the application of the principles of and exceptions to the",0,A,statute of frauds.,parol evidence rule.,law for adverse possession.,doctrine of resulting trusts.
professional_law,"A company incorporated and headquartered in State A sued a plumber domiciled in State B in a federal court in State A, alleging that the plumber had negligently installed pipes in a manner that resulted in $250,000 in damage to the company's headquarters building. In response to the complaint, the plumber filed a motion to dismiss for lack of personal jurisdiction. The court denied the motion. Thereafter, the plumber did not file an answer or any other response to the company's action. Sixty days after the court's order denying the motion to dismiss, the company asked the clerk to enter default, and the clerk did so. The company applied to the court for the entry of a default judgment and notified the plumber three days before the default judgment hearing. After an ex parte hearing in which the court received evidence on the damages amount, the court entered a default judgment for the full amount sought. Ten days later, the plumber filed a motion to set aside the default judgment. Is the court likely to grant the plumber's motion?",2,C,"No, because the court could fix the amount of damages even without hearing the plumber's evidence.","No, because the plumber failed to plead or otherwise defend against the company's action.","Yes, because the plumber was not given adequate notice of the hearing on the company's application for the entry of a default judgment.","Yes, because the State A federal court lacked personal jurisdiction over the plumber as a State B citizen."
professional_law,"A man was at a pub drinking beer and playing darts with a group of friends. Quite intoxicated, the man left the bar around midnight. He was staggering down the street when the defendant approached him from behind. The defendant took out a stick, stuck it against the man's back and told the man to give him his wallet or he was going to shoot him. Frightened, the man fainted and fell to the pavement. The defendant reached into the man's pants pocket and stole his wallet. The defendant is guilty of",1,B,attempted robbery.,robbery.,larceny.,assault and larceny.
professional_law,"Police received reliable information that a homeowner had a stolen x-brand stereo in his possession. The detectives then submitted an affidavit to a neutral magistrate setting forth sufficient underlying circumstances for the issuance of a search warrant. Making a determination of probable cause, the magistrate issued a warrant for the x-brand stereo at the homeowner's address. The police arrived at the homeowner's dwelling, showed him the warrant, and came inside. In the living room, they noticed a y-brand stereo, which had the serial number removed. Upon further inspection, the police determined that the stereo had been stolen from a local electronics store during a recent burglary. Thereupon, the police placed the homeowner under arrest and instructed him to remain seated in the living room while they searched the rest of the home. One of the officers proceeded to the basement where she found the stolen x-brand stereo. She then decided to search the upstairs and came upon a stolen z-brand stereo in the homeowner's second-floor bedroom. The homeowner was subsequently prosecuted for receiving stolen property. At trial, the homeowner moves to prevent introduction of the stereos into evidence. His motion should be granted with respect to",2,C,the y-brand stereo.,the z-brand stereo.,the y-brand and the z-brand stereos.,none of the stereos.
professional_law,"A noted author was writing a screenplay that he was adapting from his novel Quiet Winter. He assigned in writing 25 percent of any future royalties, when and if the screenplay was made into either a movie or a stage play, to his friend, who had subsidized him during his early years as a struggling writer. Shortly after the screenplay was completed, the author was killed in an auto accident. A movie studio then purchased the screenplay from the executors of the author's estate and filmed the movie Quiet Winter, which was a great success. In an action against the executors of the author's estate to recover her percentage of the movie royalties, the friend will most likely",0,A,"lose, because under the circumstances an assignment of future rights is unenforceable.","lose, because the attempted gift of royalties failed for non-delivery.","win, because she was an intended beneficiary.","win, because the assignment of future rights is enforceable."
