sample,subject,source_model,target_model,count
picking_sides_sample0_correct,elementary_mathematics,llama8b,qwen7b,1
picking_sides_sample0_correct,elementary_mathematics,qwen3b,qwen7b,1
picking_sides_sample0_correct,elementary_mathematics,qwen14b,qwen7b,1
picking_sides_sample0_correct,elementary_mathematics,qwen32b,qwen7b,1
picking_sides_sample0_wrong,elementary_mathematics,llama8b,qwen7b,1
picking_sides_sample0_wrong,elementary_mathematics,qwen3b,qwen7b,1
picking_sides_sample0_wrong,elementary_mathematics,qwen14b,qwen7b,1
picking_sides_sample0_wrong,elementary_mathematics,qwen32b,qwen7b,1
picking_sides_sample1_correct,elementary_mathematics,llama8b,qwen7b,1
picking_sides_sample1_correct,elementary_mathematics,qwen3b,qwen7b,1
picking_sides_sample1_correct,elementary_mathematics,qwen32b,qwen7b,1
picking_sides_sample1_correct,elementary_mathematics,llama8b,qwen14b,1
picking_sides_sample1_correct,elementary_mathematics,qwen3b,qwen14b,1
picking_sides_sample1_correct,elementary_mathematics,qwen32b,qwen14b,1
picking_sides_sample1_correct,elementary_mathematics,llama3b,qwen32b,1
picking_sides_sample1_correct,elementary_mathematics,qwen7b,qwen32b,2
picking_sides_sample1_correct,elementary_mathematics,qwen14b,qwen32b,2
picking_sides_sample1_correct,elementary_mathematics,llama8b,qwen32b,1
picking_sides_sample1_correct,elementary_mathematics,qwen3b,qwen32b,1
picking_sides_sample1_wrong,elementary_mathematics,llama8b,qwen7b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen3b,qwen7b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen14b,qwen7b,1
picking_sides_sample1_wrong,elementary_mathematics,llama3b,qwen14b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen7b,qwen14b,2
picking_sides_sample1_wrong,elementary_mathematics,qwen32b,qwen14b,1
picking_sides_sample1_wrong,elementary_mathematics,llama8b,qwen14b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen3b,qwen14b,1
picking_sides_sample1_wrong,elementary_mathematics,llama8b,qwen32b,1
