subject,question,answer,answer_letter,choice_A,choice_B,choice_C,choice_D
elementary_mathematics,Use the equation below to answer the question. 0.75 × 6.5 = m Which expression shows one way to solve the equation?,0,A,"75 × 65 ÷ 1,000","75 × 650 ÷ 1,000",0.7 × 6 + 0.7 × 5 + 0.5 × 6 + 0.5 × 5,0.7 × 6 + 0.7 × 0.5 + 0.5 × 6 + 0.5 × 0.5
elementary_mathematics,Which situation can be solved using the expression 21 / 3?,3,D,finding the number of shirts when there are 3 groups of 21 shirts,finding the number of dresses when 21 more dresses are placed on a rack with 3 dresses,finding the number of jackets left over when 3 out of 21 jackets are sold,finding the number of skirts on each rack when a total of 21 skirts are placed equally on 3 racks
elementary_mathematics,Wendy bought 30 packs of gum. Each pack had 5 pieces. She multiplied 30 × 5 to find the number of pieces of gum she bought. How many pieces of gum did Wendy buy?,2,C,15,35,150,305
elementary_mathematics,"What is the greatest common divisor of 54, 36, and 24?",2,C,2,3,6,9
professional_law,"Betty Buyer wanted to buy an antique Volvo automobile owned by Sarah Seller who had previously expressed some interest in selling.  Betty wrote Sarah a signed letter on April 1 stating ""I will buy your Volvo for $10,000 cash upon you bringing the vehicle to my home before April 5. This offer is not subject to countermand."" On April 2 Sarah received the letter and wrote back a signed letter to Betty stating ""I accept your offer and promise to deliver the Volvo to you as you request."" Unfortunately, the Postal Authority delayed delivery of Sarah's letter for 10 days.  In the mean time, Betty grew tired of not hearing from Sarah and purchased another car.  When she learned that Betty would not complete the transfer, Sarah sued for breach of contract.  The court will likely hold that",0,A,The mailing of the April 2nd letter did not prevent a subsequent effective revocation by Betty.,The April 2nd letter bound both parties to a bilateral contract when received.,The April 2nd letter bound both parties to a unilateral contract.,"The April 2nd letter was effective to form a contract on April 12th, when the offeror received it."
professional_law,"A pedestrian was walking on a crowded and busy city street when he fell down an opened manhole that he did not notice. City workers had put a small sign at the opening, stating ""Danger Do Not Walk"", but they did not barricade the area. The city defended the pedestrian's lawsuit by claiming not only that he was contributorily negligent but also that he voluntarily assumed the risk. Will the city prevail on the assumption of the risk defense?",2,C,"Yes, because there was a sign and the pedestrian proceeded knowingly and voluntarily into the danger anyway.","No, because contributory negligence and assumption of the risk cannot both be claimed at the same time.","No, because the warning was not enough to tell him that there was an opened manhole in front of him.","Yes, he reasonably should have known of the danger under the circumstances."
professional_law,"One afternoon, a man was driving his car in the downtown section of a city. Already late for a  onsiness appointment, he was becoming very upset because of the heavy traffic. Suddenly, he decided to drive his car along the sidewalk to avoid the traffic jam. While he was speeding down the sidewalk, people were hastily scurrying to avoid his car. His car struck a pedestrian, who had tripped trying to get out of his way, killing her. Which of the following is the best theory regarding the man's criminal liability?",3,D,"Felony murder, because he was committing an assault with a deadly weapon. ","Transferred intent, because one is presumed to intend the natural and probable consequences of his acts. ","Intentional killing, because the man's conduct was a substantial factor in causing the pedesthan's death. ","Commission of an act highly dangerous to life, without an intent to kill but with disregard for the consequences. "
professional_law,"A registered pharmacist was falsely told by his best friend one day that the friend needed a dangerous drug for an experiment he was conducting with rats in his lab. Unbeknownst to the pharmacist, his friend used the drug to poison his girlfriend. The poison killed her. The pharmacist was aware that his best friend had a volatile relationship with his girlfriend. A statute in the jurisdiction provides: ""Any intentional and premeditated killing or one occurring during the perpetration of a felony, is murder in the first degree. Murder in the second degree is murder with intent to cause serious bodily harm. Manslaughter is an unlawful killing due to recklessness. "" Assault with intent to kill or to cause serious physical injury is a felony in the jurisdiction. There are no separate felonies relating to adulterating food or poisoning. Finally, it is a misdemeanor in the jurisdiction to distribute drugs without a prescription. The most serious crime for which the pharmacist can properly be convicted is",3,D,first-degree murder.,second-degree murder.,manslaughter.,selling drugs without a prescription.
machine_learning,"In Yann LeCun's cake, the cherry on top is",0,A,reinforcement learning,self-supervised learning,unsupervised learning,supervised learning
machine_learning,"What is the dimensionality of the null space of the following matrix? A = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]",2,C,0,1,2,3
machine_learning,The number of test examples needed to get statistically significant results should be _,1,B,Larger if the error rate is larger.,Larger if the error rate is smaller.,Smaller if the error rate is smaller.,It does not matter.
machine_learning,Which of the following statements about Naive Bayes is incorrect?,1,B,Attributes are equally important.,Attributes are statistically dependent of one another given the class value.,Attributes are statistically independent of one another given the class value.,Attributes can be nominal or numeric
business_ethics,Disqualification of directors may result from breaches under the,2,C,Sale of Goods Act 1979,Financial Services Act 1986,Companies Act 2006 and Insolvency Act 1986,Health and Safety at Work Act 1974
business_ethics,What is meant by the phrase CSR?,0,A,Corporate Social Responsibility,Company Social Responsibility,Corporate Society Responsibility,Company Society Responsibility
business_ethics,Ethics of duty is a principle based ethical theory attributed to Emmanuel Kant.,0,A,"1,3","2,3","1,2","1,2,3"
business_ethics,The recent global sustainability agenda has been dominated by which of the following organisations sustainability goals?,1,B,Marks & Spencer's 'Plan A',United Nations 'Sustainable Development Goals',The Alibaba Group's 'Sustainability Initiatives',Unilever's 'Sustainable Living Plan'
high_school_biology,Similar evolutionary changes occurring in two species that can be related or unrelated.,2,C,Divergent evolution,Convergent evolution,Parallel evolution,Coevolution
high_school_biology,Which of these naturalists synthesized a concept of natural selection independently of Darwin?,2,C,Charles Lyell,Gregor Mendel,Alfred Wallace,John Henslow
high_school_biology,Some animals have patterns that can cause a predator to think twice before attacking.,2,C,Aposomatic coloration,Batesian mimicry,Deceptive markings,Cryptic coloration
high_school_biology,Which of the following does NOT take place in the small intestine?,1,B,Pancreatic lipase breaks down fats to fatty acids and glycerol.,Pepsin breaks down proteins to amino acids.,Pancreatic amylase breaks down carbohydrates into simple sugars.,Bile emulsifies fats into smaller fat particles.
