sample,subject,source_model,target_model,count
picking_sides_sample0_wrong,elementary_mathematics,llama8b,llama3b,1
picking_sides_sample0_wrong,elementary_mathematics,qwen14b,llama3b,1
picking_sides_sample0_wrong,elementary_mathematics,llama3b,llama8b,2
picking_sides_sample0_wrong,elementary_mathematics,qwen3b,llama8b,2
picking_sides_sample0_wrong,elementary_mathematics,qwen7b,llama8b,2
picking_sides_sample0_wrong,elementary_mathematics,qwen32b,llama8b,1
picking_sides_sample0_wrong,elementary_mathematics,llama8b,qwen3b,1
picking_sides_sample0_wrong,elementary_mathematics,qwen14b,qwen3b,1
picking_sides_sample0_wrong,elementary_mathematics,llama8b,qwen7b,1
picking_sides_sample0_wrong,elementary_mathematics,qwen14b,qwen7b,1
picking_sides_sample0_wrong,elementary_mathematics,llama3b,qwen14b,2
picking_sides_sample0_wrong,elementary_mathematics,qwen3b,qwen14b,2
picking_sides_sample0_wrong,elementary_mathematics,qwen7b,qwen14b,2
picking_sides_sample0_wrong,elementary_mathematics,qwen32b,qwen14b,1
picking_sides_sample0_wrong,elementary_mathematics,llama3b,qwen32b,1
picking_sides_sample0_wrong,elementary_mathematics,qwen3b,qwen32b,1
picking_sides_sample0_wrong,elementary_mathematics,qwen7b,qwen32b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen3b,llama3b,3
picking_sides_sample1_wrong,elementary_mathematics,llama8b,llama3b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen7b,llama3b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen14b,llama3b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen32b,llama3b,1
picking_sides_sample1_wrong,elementary_mathematics,llama3b,llama8b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen3b,llama8b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen7b,llama8b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen14b,llama8b,1
picking_sides_sample1_wrong,elementary_mathematics,qwen32b,llama8b,1
picking_sides_sample1_wrong,elementary_mathematics,llama8b,qwen3b,3
picking_sides_sample1_wrong,elementary_mathematics,llama3b,qwen3b,3
picking_sides_sample1_wrong,elementary_mathematics,qwen7b,qwen3b,2
picking_sides_sample1_wrong,elementary_mathematics,qwen14b,qwen3b,2
picking_sides_sample1_wrong,elementary_mathematics,qwen32b,qwen3b,2
picking_sides_sample2_correct,elementary_mathematics,llama8b,llama3b,1
picking_sides_sample2_correct,elementary_mathematics,qwen3b,llama3b,1
picking_sides_sample2_correct,elementary_mathematics,qwen7b,llama3b,1
picking_sides_sample2_correct,elementary_mathematics,qwen32b,llama3b,1
picking_sides_sample2_correct,elementary_mathematics,llama8b,qwen14b,1
picking_sides_sample2_correct,elementary_mathematics,qwen3b,qwen14b,1
picking_sides_sample2_correct,elementary_mathematics,qwen7b,qwen14b,1
picking_sides_sample2_correct,elementary_mathematics,qwen32b,qwen14b,1
picking_sides_sample2_wrong,elementary_mathematics,llama8b,qwen14b,1
picking_sides_sample2_wrong,elementary_mathematics,qwen3b,qwen14b,1
picking_sides_sample2_wrong,elementary_mathematics,qwen7b,qwen14b,1
picking_sides_sample3_correct,elementary_mathematics,qwen3b,llama3b,1
picking_sides_sample3_correct,elementary_mathematics,qwen32b,llama3b,2
picking_sides_sample3_correct,elementary_mathematics,qwen7b,llama3b,1
picking_sides_sample3_correct,elementary_mathematics,qwen14b,llama3b,1
picking_sides_sample3_correct,elementary_mathematics,llama3b,llama8b,1
picking_sides_sample3_correct,elementary_mathematics,qwen7b,llama8b,1
picking_sides_sample3_correct,elementary_mathematics,qwen14b,llama8b,1
picking_sides_sample3_correct,elementary_mathematics,qwen32b,llama8b,2
picking_sides_sample3_correct,elementary_mathematics,qwen3b,llama8b,1
picking_sides_sample3_correct,elementary_mathematics,llama8b,qwen3b,1
picking_sides_sample3_correct,elementary_mathematics,qwen32b,qwen3b,1
picking_sides_sample3_correct,elementary_mathematics,llama3b,qwen32b,3
picking_sides_sample3_correct,elementary_mathematics,qwen3b,qwen32b,3
picking_sides_sample3_correct,elementary_mathematics,qwen7b,qwen32b,2
picking_sides_sample3_correct,elementary_mathematics,qwen14b,qwen32b,2
picking_sides_sample3_correct,elementary_mathematics,llama8b,qwen32b,3
picking_sides_sample4_correct,elementary_mathematics,llama8b,qwen7b,1
picking_sides_sample4_correct,elementary_mathematics,qwen3b,qwen7b,1
picking_sides_sample4_correct,elementary_mathematics,qwen14b,qwen7b,1
picking_sides_sample4_correct,elementary_mathematics,qwen32b,qwen7b,1
picking_sides_sample4_wrong,elementary_mathematics,llama8b,qwen7b,1
picking_sides_sample4_wrong,elementary_mathematics,qwen3b,qwen7b,1
picking_sides_sample4_wrong,elementary_mathematics,qwen14b,qwen7b,1
picking_sides_sample4_wrong,elementary_mathematics,llama3b,qwen14b,1
picking_sides_sample4_wrong,elementary_mathematics,qwen7b,qwen14b,2
picking_sides_sample4_wrong,elementary_mathematics,qwen32b,qwen14b,2
picking_sides_sample4_wrong,elementary_mathematics,llama8b,qwen14b,1
picking_sides_sample4_wrong,elementary_mathematics,qwen3b,qwen14b,1
picking_sides_sample4_wrong,elementary_mathematics,llama8b,qwen32b,1
picking_sides_sample4_wrong,elementary_mathematics,qwen3b,qwen32b,1
picking_sides_sample4_wrong,elementary_mathematics,qwen14b,qwen32b,1
picking_sides_sample5_wrong,elementary_mathematics,llama3b,llama8b,1
picking_sides_sample5_wrong,elementary_mathematics,qwen7b,llama8b,3
picking_sides_sample5_wrong,elementary_mathematics,qwen14b,llama8b,2
picking_sides_sample5_wrong,elementary_mathematics,qwen32b,llama8b,2
picking_sides_sample5_wrong,elementary_mathematics,qwen3b,llama8b,3
picking_sides_sample5_wrong,elementary_mathematics,llama8b,qwen3b,3
picking_sides_sample5_wrong,elementary_mathematics,qwen14b,qwen3b,2
picking_sides_sample5_wrong,elementary_mathematics,qwen32b,qwen3b,2
picking_sides_sample5_wrong,elementary_mathematics,qwen7b,qwen3b,1
picking_sides_sample5_wrong,elementary_mathematics,llama8b,qwen7b,1
picking_sides_sample5_wrong,elementary_mathematics,qwen3b,qwen7b,1
picking_sides_sample6_correct,elementary_mathematics,llama8b,llama3b,1
picking_sides_sample6_correct,elementary_mathematics,qwen7b,llama3b,1
picking_sides_sample6_correct,elementary_mathematics,qwen14b,llama3b,1
picking_sides_sample6_correct,elementary_mathematics,qwen32b,llama3b,1
picking_sides_sample6_correct,elementary_mathematics,llama8b,qwen3b,1
picking_sides_sample6_correct,elementary_mathematics,qwen7b,qwen3b,1
picking_sides_sample6_correct,elementary_mathematics,qwen14b,qwen3b,1
picking_sides_sample6_correct,elementary_mathematics,qwen32b,qwen3b,1
picking_sides_sample6_wrong,elementary_mathematics,llama3b,llama8b,1
picking_sides_sample6_wrong,elementary_mathematics,qwen3b,llama8b,1
picking_sides_sample6_wrong,elementary_mathematics,qwen7b,llama8b,1
picking_sides_sample6_wrong,elementary_mathematics,qwen14b,llama8b,1
picking_sides_sample6_wrong,elementary_mathematics,qwen32b,llama8b,1
picking_sides_sample6_wrong,elementary_mathematics,llama8b,qwen3b,2
picking_sides_sample6_wrong,elementary_mathematics,llama3b,qwen3b,1
picking_sides_sample6_wrong,elementary_mathematics,qwen7b,qwen3b,1
picking_sides_sample6_wrong,elementary_mathematics,qwen14b,qwen3b,1
picking_sides_sample6_wrong,elementary_mathematics,qwen32b,qwen3b,1
picking_sides_sample7_wrong,elementary_mathematics,llama8b,llama3b,1
picking_sides_sample7_wrong,elementary_mathematics,llama3b,llama8b,2
picking_sides_sample7_wrong,elementary_mathematics,qwen3b,llama8b,2
picking_sides_sample7_wrong,elementary_mathematics,qwen7b,llama8b,1
picking_sides_sample7_wrong,elementary_mathematics,qwen14b,llama8b,1
picking_sides_sample7_wrong,elementary_mathematics,qwen32b,llama8b,1
picking_sides_sample7_wrong,elementary_mathematics,llama8b,qwen3b,1
picking_sides_sample7_wrong,elementary_mathematics,llama3b,qwen7b,1
picking_sides_sample7_wrong,elementary_mathematics,qwen3b,qwen7b,1
picking_sides_sample7_wrong,elementary_mathematics,llama3b,qwen14b,1
picking_sides_sample7_wrong,elementary_mathematics,qwen3b,qwen14b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen3b,llama3b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen7b,llama3b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen14b,llama3b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen32b,llama3b,1
picking_sides_sample8_wrong,elementary_mathematics,llama3b,llama8b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen7b,llama8b,2
picking_sides_sample8_wrong,elementary_mathematics,qwen14b,llama8b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen32b,llama8b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen3b,llama8b,1
picking_sides_sample8_wrong,elementary_mathematics,llama8b,qwen7b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen3b,qwen7b,1
picking_sides_sample8_wrong,elementary_mathematics,llama3b,qwen14b,1
picking_sides_sample8_wrong,elementary_mathematics,llama8b,qwen14b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen3b,qwen14b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen7b,qwen14b,1
picking_sides_sample8_wrong,elementary_mathematics,llama8b,qwen32b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen3b,qwen32b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen7b,qwen32b,1
picking_sides_sample8_wrong,elementary_mathematics,qwen14b,qwen32b,1
